project	field_data_rows	distinct_sample_ids	missing_sample_id_rows	canonical_sample_id_rows	nonstandard_sample_id_rows	duplicate_sample_id_count	duplicate_sample_id_row_count	missing_primary_taxon_rows	missing_unified_taxon_rows	taxon_recovered_from_fallback_rows	taxon_unified_conflict_rows	missing_date_rows	missing_coordinate_rows	coordinates_look_swapped_rows	coordinates_out_of_ch_range_rows	duplicate_observation_fingerprint_count	duplicate_observation_fingerprint_row_count
artemisia_absinthium	495	495	0	495	0	0	0	6	0	6	31	0	8	487	0	0	0
bioblitz_vinesch	257	257	0	251	6	0	0	0	0	0	0	0	2	255	0	0	0
champex_gradient	479	479	0	405	74	0	0	0	0	0	0	0	0	479	0	42	116
chemical_ecology	183	183	0	104	79	0	0	0	0	0	0	0	0	182	1	36	114
droguier_jbn	527	527	0	525	2	0	0	240	0	240	185	0	398	129	0	0	0
emi	9	9	0	9	0	0	0	0	0	0	0	9	0	9	0	0	0
heloise_bachelor_FiBL	109	109	0	109	0	0	0	0	0	0	0	109	0	109	0	0	0
jbb	2	2	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0
jbc	1695	1695	0	1604	91	0	0	308	0	308	0	0	0	1695	0	37	112
jbn	1332	1332	0	1328	4	0	0	213	36	177	32	427	0	1332	0	0	0
jbn-new	112	112	0	111	1	0	0	1	1	0	88	0	0	112	0	0	0
jbp	303	303	0	302	1	0	0	65	0	65	21	0	0	0	303	1	2
jbp-new	551	551	0	551	0	0	0	0	0	0	30	0	0	0	551	0	0
jbuf	2540	2540	0	2518	22	0	0	85	15	70	46	2060	5	2535	0	8	16
kew-botanical-gardens	635	635	0	634	1	0	0	0	0	0	0	0	0	0	635	0	0
medicin_alps	1221	1221	0	478	743	0	0	611	321	290	186	0	0	1221	0	320	1060
sandbox	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
sbl_20004	37	37	0	37	0	0	0	0	0	0	0	12	0	37	0	0	0
